review_id,review,rating,date,product
REV-001,Comfortable through a full workday and the battery lasted all week.,5,2026-08-01,Wireless Headphones
REV-002,The machine leaked water on the counter after just three uses.,1,2026-08-02,Coffee Maker
REV-003,"The light is bright enough, but the controls take some getting used to.",3,2026-08-03,Desk Lamp
REV-004,Plenty of room for my laptop and clothes. The stitching feels very solid.,5,2026-08-04,Travel Backpack
REV-005,Sound is fine but calls keep disconnecting from my phone.,2,2026-08-05,Wireless Headphones
REV-006,Makes a good cup quickly. I wish the water tank were a little larger.,4,2026-08-06,Coffee Maker
REV-007,It arrived on time and works as described. Nothing particularly special.,3,2026-08-07,Desk Lamp
REV-008,The zipper broke on my first trip and support has not replied.,1,2026-08-08,Travel Backpack
REV-009,Excellent noise isolation on the train. Very happy with this purchase.,5,2026-08-09,Wireless Headphones
REV-010,Coffee is lukewarm even right after brewing. Disappointing for the price.,2,2026-08-10,Coffee Maker
REV-011,Easy to assemble and the warm setting is great for reading.,4,2026-08-11,Desk Lamp
REV-012,"Looks good and holds a lot, although the straps dig in when it is full.",3,2026-08-12,Travel Backpack
REV-013,Simple to clean and consistently good coffee every morning.,5,2026-08-13,Coffee Maker
REV-014,The switch stopped working within a week. I have requested a replacement.,1,2026-08-14,Desk Lamp
REV-015,Battery life is average. Sound quality is about what I expected.,3,2026-08-15,Wireless Headphones
REV-016,Kept everything dry in heavy rain. The side pockets are really useful.,5,2026-08-16,Travel Backpack
REV-017,The base wobbles on my desk and the cable is too short.,2,2026-08-17,Desk Lamp
REV-018,Clear sound and quick pairing. The case is bulkier than I would like.,4,2026-08-18,Wireless Headphones
REV-019,A basic coffee maker that does the job. Delivery took an extra two days.,3,2026-08-19,Coffee Maker
REV-020,Good value for commuting and easy to organize. A chest strap would help.,4,2026-08-20,Travel Backpack
